2019-1-1,2:00 AM,48 F,42 F,79 %,NE,7 mph,30.2 in
2019-1-1,5:00 AM,48 F,41 F,76 %,NNW,13 mph,30.2 in
2019-1-1,8:00 AM,49 F,40 F,74 %,N,11 mph,30.3 in
2019-1-1,11:00 AM,53 F,41 F,64 %,N,7 mph,30.3 in
2019-1-1,2:00 PM,56 F,42 F,61 %,NW,13 mph,30.1 in
2019-1-1,5:00 PM,57 F,45 F,64 %,NNW,11 mph,30.2 in
2019-1-1,8:00 PM,55 F,47 F,76 %,N,11 mph,30.2 in
2019-1-1,11:00 PM,53 F,45 F,73 %,NNW,11 mph,30.2 in
2019-1-2,2:00 AM,53 F,44 F,72 %,NNW,11 mph,30.2 in
2019-1-2,5:00 AM,52 F,44 F,74 %,N,11 mph,30.2 in
2019-1-2,8:00 AM,52 F,43 F,72 %,NE,4 mph,30.2 in
2019-1-2,11:00 AM,53 F,43 F,68 %,NNW,9 mph,30.2 in
2019-1-2,2:00 PM,57 F,44 F,64 %,NW,13 mph,30.1 in
2019-1-2,5:00 PM,57 F,45 F,64 %,N,11 mph,30.1 in
2019-1-2,8:00 PM,57 F,48 F,73 %,NNE,7 mph,30.2 in
2019-1-2,11:00 PM,56 F,47 F,74 %,NE,4 mph,30.2 in
